"ArtistID","ArtistName","SoundCloudFollowers","SpotifyListenerFollowerRatio","SpotifyMonthlyListeners","SpotifyPopularity","YoutubeChannelViews"
"3959798","ITALEE",,"8437.833333333","151881","40",
"215418","Typecast",,"1.517519758","151884","46",
"558841","LIONE","29195","6.712120543","151902","46","390378"
"237425","Sylvie Vartan",,"3.894280807","151912","44","2729618"
"445543","Reddy","8647","5.416672609","151916","47",
"4105546","Rxch Banana",,"76.379084967","151918","50",
"1532212","MusicoterapiaTeam",,"10.535330421","151930","56",
"558214","Slot Machine",,"0.6846497711","151932","47","31224855"
"34760","El Combo Dominicano","226","6.958415388","151937","47",
"627400","Static-P","129","6.382240517","151942","48","38647853"
"213036","Boysetsfire",,"3.313192324","151943","46","423023"
"141896","Tatiana Bulanova",,"4.194104008","151944","46","168779678"
"285803","REBECCA",,"1.040718899","151946","46",
"631439","KLUB",,"26.471428571","151946","43",
"437082","Orchestra Sinfonica di Milano Giuseppe Verdi",,"121.368210863","151953","46",
"9885","Gene Clark",,"4.156855236","151958","44",
"1126147","Joker Beats","224","46.802279027","151967","42",
"1584468","SHOOVAL",,"9.884097561","151968","47",
"160919","Ryan Upchurch",,"0.6360930894","151969","51","1266848260"
"276730","Riff","55","1.775187188","151972","47",
"3337447","Von Goo",,"466.18404908","151976","45",
"86552","Squash",,"9.051393521","151991","49","136542046"
"3439123","Snocker",,"527.756944444","151994","43",
"330054","Bharadwaj",,"1.712002433","151995","34",
"711945","Franco",,"464.822629969","151997","41",
"428239","Chakri",,"0.36875047","152003","42",
"359815","Diego Dominguez",,"12.808055275","152006","50","11365"
"3614703","Riley Costello",,"2763.781818182","152008","43",
"3614715","Mason Trueblood",,"2868.075471698","152008","43",
"3614701","Joshua Alexander",,"2763.818181818","152010","43",
"4044186","Sophie Ronstadt",,"4903.677419355","152014","41",
"496118","Merengue Latin Band","47","3.469711495","152015","42","2618952"
"277770","Typhillosion",,"106.603786816","152017","44",
"1067750","Leellamarz",,"8.328603517","152022","50",
"1125067","VEUST",,"168.543237251","152026","47",
"212348","Soviet Soviet","1349","1.958051595","152029","48",
"243288","Chris River","2198","30.757839369","152036","44",
"171108","Alliance Ethnik","168","4.666574586","152037","43",
"428125","Mike Moonnight","17810","54.360743654","152047","45","6874980"
"172899","Celeste Buckingham",,"11.474681156","152051","43","45422119"
"656039","Spice",,"2981.490196078","152056","43",
"3654552","M.A.C",,"86.996567506","152070","45",
"715032","Julian Taylor",,"150.12142152","152073","41","769584"
"892366","Christian Kuria","2534","10.1388","152082","46","564681"
